user_id,acquisition_channel,cost
usr_sq02p42uth,Direct,0.86
usr_5kol5gjgqb,Content Marketing,10.22
usr_uscrs8sx4y,Partner,118.82
usr_5dxss6nm2u,Referral,33.66
usr_up8k5z25be,Email Campaign,13.33
usr_h1qtverkgc,Partner,46.43
usr_xkg4jmw4pd,Social Media,23.47
usr_9dvcen6eyf,Direct,2.21
usr_th13pvmjzh,Paid Search,76.41
usr_6ttszgenai,Email Campaign,14.08
usr_pi0av6klp6,Paid Search,59.17
usr_kajgplv1a2,Content Marketing,19.31
usr_v71dugmvo5,Social Media,20.1
usr_i5c7tyeslo,Organic Search,17.38
usr_gmtj7dujk1,Social Media,33.07
usr_vgcrsyqss3,Organic Search,16.23
usr_1jpegqzi9r,Email Campaign,12.25
usr_3xxi5wlbej,Partner,65.7
usr_zrnr34rg4v,Direct,4.44
usr_jw57gby8gp,App Store,42.35
usr_trj5tzqekn,Partner,78.44
usr_gan6jb803c,Social Media,32.34
usr_kmah1z2bz5,Paid Search,24.97
usr_f9dyf57zmy,Paid Search,44.31
usr_o807w7hani,Partner,83.38
usr_h0918r2c9w,Paid Search,79.81
usr_3zcg2f2ewc,Direct,3.71
usr_9fo4ua3sk2,Referral,25.3
usr_o1l9qdmkx4,App Store,58.26
usr_t6lcf5pumv,Partner,39.5
usr_o3cx3h1ngu,Direct,1.31
usr_xa3i0wqd9x,Email Campaign,5.95
usr_pk5rpwntk4,Email Campaign,11.17
usr_8yip5i1smw,Content Marketing,14.63
usr_3w64z6w3y9,Email Campaign,9.48
usr_8qh0ceawyd,Organic Search,8.16
usr_waihszv62g,Partner,58.52
usr_7r5sq8agby,Social Media,49.23
usr_cjrnzg1ri9,Referral,10.91
usr_yg71pmowd6,Partner,31.4
usr_87tcpvdld4,Paid Search,52.83
usr_fwtqm54rna,Paid Search,26.62
usr_iyjbjc1cqt,Referral,19.83
usr_hwkhkokxbt,Paid Search,26.11
usr_rttslo594y,Partner,56.42
usr_wx9y4ioowz,Referral,19.6
usr_7v6jaoq2rz,Paid Search,39.08
usr_2jidxxk1wd,Content Marketing,11.6
usr_3n4yzodn8w,App Store,68.67
usr_tm5iw6ntnx,Email Campaign,5.29
usr_1et55yhjqp,Partner,41.71
usr_wzqdni4k0g,Direct,1.82
usr_8im99t8if4,Content Marketing,20.15
usr_3le7bcxrn9,Email Campaign,7.3
usr_berdloezd9,Referral,37.42
usr_4gsnondvwr,Organic Search,12.6
usr_rbyp8yfefk,Organic Search,16.75
usr_ahw8yawyrh,Organic Search,7.22
usr_i51te8urpt,Referral,25.84
usr_h4y251lwc5,App Store,26.56
usr_tecvy27yyp,Partner,100.86
usr_t8fbycez1r,Social Media,41.68
usr_8hyklcv9wh,Social Media,57.17
usr_xts2ritjy2,Organic Search,6.92
usr_r1j6zlgdef,Referral,31.01
usr_j0k0eroy5q,Direct,2.2
usr_fdfty3jjau,Organic Search,10.02
usr_t37xus5eh3,Organic Search,9.14
usr_wgl2w040gw,Email Campaign,8.69
usr_wevkd40s3f,Referral,26.1
usr_kfs05jqx3w,Partner,98.27
usr_x5massnp7u,Content Marketing,9.42
usr_5krqbii6g2,Referral,17.62
usr_v291d8hvtd,Direct,3.65
usr_2iy6so0sd7,Content Marketing,19.76
usr_l03d6dz1ve,App Store,70.15
usr_ft969so0un,Referral,33.83
usr_zm73emvbkp,App Store,42.88
usr_ttdvie2cu8,Social Media,59.54
usr_7876zyrwyv,Email Campaign,13.68
usr_jbisjvcryn,App Store,33.55
usr_i80n3qk4nv,Content Marketing,20.93
usr_vmygk9t4r5,Content Marketing,15.46
usr_gfqd3gx5me,Partner,33.95
usr_kogfia3ngr,Paid Search,24.49
usr_31112ag541,Organic Search,17.05
usr_jahri6gkh4,Email Campaign,7.13
usr_c5md5050v8,Referral,30.76
usr_mz5k0i5qz8,Paid Search,23.03
usr_8ux6pfwg8t,Social Media,23.96
usr_my9hlbo5xw,Referral,20.82
usr_ojlkqkn8sr,Email Campaign,10.5
usr_h2gpjnmh40,Email Campaign,11.74
usr_xkvj3fpolu,Content Marketing,13.46
usr_v449fcgjzv,Content Marketing,15.02
usr_govpyxeilp,Partner,42.12
usr_ifd44tyujs,App Store,63.43
usr_tzr0i2fjva,Direct,1.15
usr_y6mk0y72qs,Direct,0.68
usr_v58ydsryhg,Direct,1.38
