subscription_id,user_id,start_date,end_date,plan,mrr_amount
sub_y8jiry4yym,usr_qykwx3g0rd,2024-10-21,,Premium,20.21
sub_whpekibr1z,usr_844own1io6,2025-02-26,,Basic,12.99
sub_cy8ba6bo14,usr_m5py98jm70,2025-05-05,,Pro,75.33
sub_qum3dtxqxe,usr_qcabyheldm,2024-09-25,,Free,0
sub_s51ep4ocuf,usr_u8xg1gob4f,2023-12-11,,Premium,23.95
sub_b3unizf5yp,usr_3oua3qcivl,2024-07-01,,Premium,43.45
sub_wl2e9i1j3w,usr_ssfyyh7wcu,2025-01-31,,Enterprise,343.33
sub_z6vkvgfij0,usr_n8a4pcvha5,2024-04-09,2025-03-26,Pro,51.76
sub_r4i67jmeyb,usr_htn3feysa9,2025-05-10,,Pro,87.78
sub_e3eciap7d3,usr_e2s190ptx2,2025-03-21,2025-04-11,Basic,15.51
sub_qv2lw0v1gv,usr_k3qvrgalpj,2025-03-24,,Free,0
sub_bw7uaqqsmt,usr_kdqxls6j9t,2024-05-05,2024-09-28,Free,0
sub_4o4w0t5717,usr_7emnm1fnvh,2024-06-04,2024-12-08,Basic,15.7
sub_ao5p4io2ow,usr_lg2mbaez32,2025-03-19,,Pro,94.49
sub_gxuw5m0zj3,usr_y4xehjthh8,2025-04-07,,Basic,16.09
sub_0yfghcxcf5,usr_8bniuvkli8,2025-05-12,,Free,0
sub_ne8zpbjd4b,usr_95uioylmlj,2025-01-23,,Basic,15.67
sub_5pl32wh5v2,usr_z6hk56jx9b,2024-10-01,2024-11-24,Enterprise,428.53
sub_lv99ji6s4z,usr_innxq0da0x,2025-05-15,,Premium,30.72
sub_x3xaagw4s8,usr_zft7frrf01,2024-04-09,2024-05-21,Free,0
sub_jd69q1j5sp,usr_ambcpjyqdh,2025-03-14,,Premium,34.94
sub_24x5bznsfy,usr_0iot29t0lj,2025-04-04,,Free,0
sub_lvk6mxxg6b,usr_knlktzyi7i,2024-12-22,,Free,0
sub_9flbb881ue,usr_qgxew5hnz9,2025-01-28,,Pro,64.48
sub_yt1qlozmff,usr_0w0x0b7ym7,2023-10-05,,Free,0
sub_hsf3w9u46a,usr_yb3ae316dz,2023-12-14,2024-05-04,Enterprise,218.73
sub_wc9p652wid,usr_hjp2xodix8,2024-11-30,,Free,0
sub_02crqbeeap,usr_87mtwx38jl,2025-05-02,,Basic,10.08
sub_46joeqligc,usr_lypztecqey,2024-12-27,,Free,0
sub_khd5ohgzs0,usr_s35q0x88ef,2025-01-31,,Premium,36.69
sub_89ydmvhflp,usr_kyp69an7iz,2024-03-19,2024-08-27,Premium,47.86
sub_87de194b7w,usr_429pb90b7b,2023-09-04,2024-09-13,Premium,29.57
sub_3x58fir3sr,usr_mw693yza8p,2025-02-21,,Premium,20.55
sub_3vzzoq31c0,usr_o07tgt4n4u,2025-02-28,,Enterprise,244.41
sub_gzx5y0o9n7,usr_ty0w7qx8e5,2025-01-06,2025-04-28,Premium,28.56
sub_c5d23avdma,usr_af6u4mas1g,2024-07-01,2025-03-24,Premium,38.16
sub_q138b8ki48,usr_bcpe8vyjw9,2025-04-08,,Free,0
sub_smaipe4b9a,usr_fm3ntbfh8b,2024-10-16,,Pro,69.44
sub_afivgw89e9,usr_9m2qzqlab7,2025-05-10,,Pro,90.75
sub_w020cl03n7,usr_ibqfg4p856,2024-12-01,2024-12-02,Free,0
sub_tqvk1ksvji,usr_fhr9af44kz,2025-03-25,,Basic,12.02
sub_974c77acow,usr_95nj7g7u3s,2023-07-26,2024-06-01,Free,0
sub_oaoux3bmz3,usr_q6aam14zp6,2024-07-12,2024-10-28,Basic,15.82
sub_ftm5sbp93l,usr_vdcq6ojq7m,2024-10-07,,Basic,12.41
sub_afmovf13af,usr_hzj7ukr9qa,2023-07-31,2024-05-17,Basic,18.9
sub_flq82a5wp1,usr_keibu011w2,2024-02-05,2024-10-20,Basic,18.15
sub_3yvklzmhz8,usr_rjl5toakjs,2025-04-28,,Basic,18.23
sub_wznxuezgoa,usr_wgc6aka19i,2025-01-17,,Basic,11.54
sub_j8i2o6lnai,usr_9tbkuv3es2,2024-08-17,2025-04-22,Pro,86.21
sub_n2ocw7ea5y,usr_1vkf21nsbd,2024-02-22,2024-06-22,Premium,44.23
sub_lj3y94iimc,usr_2qad1w0w1b,2024-01-24,2024-12-06,Free,0
sub_z1v4u61emv,usr_ywb0x86rbo,2024-03-20,,Enterprise,458.32
sub_iwa5ubhbav,usr_d04xp2ifyw,2023-12-17,2024-08-18,Basic,11.8
sub_ti23872ewu,usr_jp1x38nyo7,2025-01-12,2025-01-18,Enterprise,272.98
sub_5dt3ibyfk1,usr_dz8vcvy61q,2025-02-02,,Basic,14.65
sub_x80a73g4sm,usr_84b2hjsa7c,2024-10-31,2025-04-18,Free,0
sub_oabevii67v,usr_j3jye4mh5g,2024-05-16,,Enterprise,431.3
sub_z35x4ws807,usr_p8g85r8h1k,2024-11-23,,Premium,34.87
sub_ncjjayezvk,usr_dlisgprhy7,2024-11-12,2025-04-13,Premium,20.32
sub_ofcypwph1w,usr_69ijuv39y0,2025-04-06,,Free,0
sub_9qhprnigpi,usr_w22uidi2j8,2024-12-18,,Basic,12.72
sub_zaqlu4bgj6,usr_5bbzaruc41,2025-03-22,,Free,0
sub_wgwm0wn5le,usr_qlyv0mrwsl,2024-02-15,,Basic,18.44
sub_af3ajiqt0w,usr_15f9xuvg2a,2024-10-11,,Free,0
sub_r7mynpl3b2,usr_wugtn9nyzj,2025-03-26,,Enterprise,316.98
sub_enjztetbyy,usr_zh7pnuceue,2025-03-06,,Basic,17.74
sub_979yh23g1r,usr_l4cbq7th82,2023-03-18,2025-02-11,Premium,20.82
sub_b200ep9oxi,usr_8uxs8h4ca4,2025-04-01,,Premium,46.14
