user_id,signup_time,country
usr_9seu5605i3,2023-04-28T16:23:57.024,France
usr_qykwx3g0rd,2024-04-15T04:01:47.560,India
usr_1s6czfmorg,2025-01-12T15:25:00.180,Mexico
usr_ky1gimbism,2025-04-18T04:03:46.614,United States
usr_91unsgsjja,2023-04-26T15:03:27.112,Mexico
usr_8xltqbycyc,2025-01-11T02:06:24.370,Australia
usr_844own1io6,2025-01-25T12:59:10.746,Mexico
usr_gvwfazk3d4,2024-07-11T13:36:38.866,Germany
usr_8z4rgh4vi1,2024-12-11T17:23:50.886,Japan
usr_u12q0mouut,2023-03-28T16:27:09.547,Mexico
usr_m5py98jm70,2024-08-29T03:14:40.413,France
usr_uune4wvsx3,2023-03-07T19:28:00.341,United Kingdom
usr_qcabyheldm,2023-01-10T06:58:13.686,Japan
usr_u8xg1gob4f,2023-09-04T23:05:58.965,Japan
usr_vd0y70ck34,2025-04-12T16:35:40.343,United Kingdom
usr_3oua3qcivl,2024-01-02T23:06:07.542,Brazil
usr_ssfyyh7wcu,2023-08-06T14:43:47.763,Japan
usr_n8a4pcvha5,2024-04-01T16:51:26.173,Canada
usr_yrdrtgqx0c,2023-06-14T12:52:08.842,Australia
usr_cqeuesa8r3,2023-07-29T13:27:31.209,United States
usr_htn3feysa9,2023-08-17T15:50:45.902,France
usr_l5id7xgjrr,2024-05-25T00:00:04.326,Brazil
usr_e2s190ptx2,2024-09-17T20:20:28.753,Japan
usr_k3qvrgalpj,2023-02-07T00:04:45.551,Canada
usr_yc20ohrn17,2024-09-16T20:56:46.884,India
usr_bmdanlxxaq,2023-08-21T19:37:20.910,Japan
usr_3xklb7clcn,2023-12-02T23:51:04.898,France
usr_kdqxls6j9t,2023-11-08T06:54:24.621,Japan
usr_7ruvrmlgcu,2024-08-09T11:45:11.407,Brazil
usr_7emnm1fnvh,2024-05-27T12:37:18.984,Canada
usr_c5fqoa4g9t,2023-12-23T05:05:12.178,Brazil
usr_3dtg3ctabs,2025-01-08T04:35:55.173,Australia
usr_4bmxjjlfqs,2023-06-28T16:37:28.648,Canada
usr_z5gyvyijxk,2023-03-27T14:46:58.569,United States
usr_lg2mbaez32,2024-12-18T03:22:00.244,United States
